Trans_Id,Cust_Id,item_id,campaign_id,coupon_id,quantity,PurchasingAmt,PurchaseDate,OrderType,Gender
TID00001,C_48,Item_24,CiD3,KF549,99,46886.0,2020-07-31,Household,
TID00002,C_43,Item_23,,LK921,27,19600.0,2021-05-05,Household,
TID00003,C_122,Item_2,CiD2,KY129,55,17085.0,2019-12-31,Household,
TID00004,C_11,Item_13,,,52,12688.0,2020-01-21,Household,
TID00005,C_133,Item_16,CiD3,VJ938,46,8528.4,2020-09-29,Household,
TID00006,C_105,Item_24,,KF549,206,101884.0,2021-07-06,Government,
TID00007,C_137,Item_13,,ZF881,54,11858.4,2022-11-13,Household,
TID00008,C_56,Item_25,CiD3,WV837,42,17378.0,2020-07-31,Household,
TID00009,C_98,Item_42,CiD4,QI961,150,76140.0,2020-12-31,Industrial,
TID00010,C_137,Item_5,,,40,18480.0,2022-04-21,Household,
TID00011,C_13,Item_21,,,67,21641.0,2022-11-27,Household,
TID00012,C_109,Item_51,,,112,57456.0,2021-11-24,Government,
TID00013,C_22,Item_24,CiD3,KF549,58,25812.0,2020-07-31,Household,
TID00014,C_100,Item_27,CiD1,PK238,214,115753.0,2019-01-31,Industrial,
TID00015,C_83,Item_47,CiD3,RI775,109,34067.9,2020-07-31,Industrial,
TID00016,C_43,Item_43,,MJ390,28,7392.0,2021-09-19,Household,
TID00017,C_91,Item_51,CiD3,RF170,162,79106.0,2020-07-16,Industrial,
TID00018,C_12,Item_43,,,48,12672.0,2019-04-16,Household,
TID00019,C_43,Item_19,CiD1,JC942,70,18120.0,2019-01-31,Household,
TID00020,C_113,Item_13,,,93,19902.0,2021-11-01,Government,
TID00021,C_98,Item_6,CiD6,NH867,51,11934.0,2022-12-16,Industrial,
TID00022,C_73,Item_2,,KY129,164,54908.0,2020-12-09,Industrial,
TID00023,C_112,Item_48,,TQ340,264,149728.0,2022-11-16,Government,
TID00024,C_68,Item_17,,,36,8208.0,2022-04-08,Household,
TID00025,C_63,Item_14,CiD4,AG574,45,10980.0,2020-12-31,Household,
TID00026,C_103,Item_60,,,370,167980.0,2021-03-07,Government,
TID00027,C_120,Item_3,,,294,139944.0,2021-07-09,Government,
TID00028,C_113,Item_16,,,402,91254.0,2021-11-01,Government,
TID00029,C_32,Item_41,CiD1,OM287,80,40752.0,2019-01-31,Household,
TID00030,C_116,Item_2,,,213,73911.0,2020-12-10,Government,
TID00031,C_4,Item_16,CiD2,VJ938,66,12236.4,2020-02-29,Household,
TID00032,C_33,Item_45,CiD2,QD673,51,22633.0,2019-12-31,Household,
TID00033,C_147,Item_21,CiD5,UN570,47,14422.0,2021-07-16,Household,
TID00034,C_98,Item_56,CiD2,RJ385,93,52921.6,2019-12-31,Industrial,
TID00035,C_89,Item_44,CiD3,OL924,165,54245.0,2020-07-31,Industrial,
TID00036,C_63,Item_35,CiD4,BU774,58,14198.4,2020-12-31,Household,
TID00037,C_33,Item_14,,AG574,25,6100.0,2020-11-06,Household,
TID00038,C_41,Item_48,,TQ340,45,25521.8,2020-08-17,Household,
TID00039,C_67,Item_57,CiD6,AN108,38,14603.4,2022-12-16,Household,
TID00040,C_83,Item_18,,,87,19662.0,2020-10-23,Industrial,
TID00041,C_40,Item_45,CiD1,QD673,72,32776.0,2019-01-31,Household,
TID00042,C_18,Item_9,,,47,10669.0,2021-05-20,Household,
TID00043,C_52,Item_31,,,63,18648.0,2019-03-25,Household,
TID00044,C_79,Item_6,CiD4,NH867,87,20358.0,2020-12-16,Industrial,
TID00045,C_40,Item_43,CiD5,MJ390,40,10560.0,2021-07-31,Household,
TID00046,C_23,Item_38,CiD3,JT255,37,9285.0,2020-07-31,Household,
TID00047,C_147,Item_37,,,92,20332.0,2020-06-01,Household,
TID00048,C_84,Item_10,,IJ213,95,17280.0,2021-07-02,Industrial,
TID00049,C_91,Item_49,CiD5,FX326,92,22107.6,2021-07-16,Industrial,
TID00050,C_34,Item_55,,,75,32100.0,2020-05-28,Household,
TID00051,C_34,Item_51,CiD4,RF170,85,39605.0,2020-12-16,Household,
TID00052,C_93,Item_61,CiD5,MS789,132,62073.0,2021-07-31,Industrial,
TID00053,C_127,Item_3,CiD6,NH787,50,21800.0,2022-12-16,Household,
TID00054,C_50,Item_53,CiD4,CP880,79,18762.5,2020-12-16,Household,
TID00055,C_64,Item_40,CiD6,QV764,49,14473.0,2022-12-31,Household,
TID00056,C_150,Item_47,CiD1,RI775,29,9063.95,2019-01-31,Household,
TID00057,C_130,Item_28,,FB617,83,29647.6,2021-12-05,Household,
TID00058,C_81,Item_50,CiD6,LV898,244,79252.0,2022-12-31,Industrial,
TID00059,C_66,Item_28,CiD1,FB617,71,25361.2,2019-01-31,Household,
TID00060,C_149,Item_24,CiD1,KF549,53,23242.0,2019-01-31,Household,
TID00061,C_47,Item_7,CiD1,QG411,94,23857.2,2019-01-31,Household,
TID00062,C_9,Item_28,,FB617,59,21074.8,2021-12-06,Household,
TID00063,C_146,Item_43,CiD2,MJ390,81,17384.0,2019-12-31,Household,
TID00064,C_63,Item_52,CiD3,DK117,46,17482.0,2020-09-29,Household,
TID00065,C_129,Item_49,CiD1,FX326,72,17301.6,2019-01-16,Household,
TID00066,C_52,Item_50,CiD4,LV898,75,22975.0,2020-12-31,Household,
TID00067,C_138,Item_9,CiD6,WQ890,27,5822.55,2022-12-31,Household,
TID00068,C_107,Item_51,,RF170,194,95522.0,2022-07-28,Government,
TID00069,C_97,Item_55,,RJ793,112,45936.0,2020-07-23,Industrial,
TID00070,C_149,Item_21,CiD4,UN570,43,13194.5,2020-12-16,Household,
TID00071,C_138,Item_45,,QD673,79,36157.0,2021-03-19,Household,
TID00072,C_127,Item_36,CiD4,JD988,52,28108.0,2020-12-31,Household,
TID00073,C_78,Item_31,CiD1,JT337,249,69704.0,2019-01-16,Industrial,
TID00074,C_35,Item_35,CiD1,BU774,47,11505.6,2019-01-31,Household,
TID00075,C_124,Item_56,CiD1,RJ385,61,34712.1,2019-01-31,Household,
TID00076,C_117,Item_17,,,351,80028.0,2020-07-22,Government,
TID00077,C_79,Item_35,CiD3,BU774,98,23990.4,2020-07-31,Industrial,
TID00078,C_72,Item_12,CiD6,YT396,119,27358.1,2022-12-31,Industrial,
TID00079,C_57,Item_33,CiD1,RX760,77,24871.0,2019-04-01,Household,
TID00080,C_33,Item_35,CiD6,BU774,41,10036.8,2022-12-31,Household,
TID00081,C_104,Item_60,,,246,80934.0,2022-08-04,Government,
TID00082,C_106,Item_13,,ZF881,216,47433.6,2022-09-02,Government,
TID00083,C_101,Item_8,,EM849,136,50918.4,2022-01-13,Government,
TID00084,C_95,Item_7,CiD6,QG411,144,36547.2,2022-12-31,Industrial,
TID00085,C_124,Item_8,CiD3,EM849,91,34070.4,2020-07-31,Household,
TID00086,C_118,Item_2,,KY129,147,49009.0,2021-05-03,Government,
TID00087,C_138,Item_9,CiD4,WQ890,49,10566.8,2020-12-31,Household,
TID00088,C_130,Item_12,CiD3,YT396,90,20691.0,2020-07-31,Household,
TID00089,C_98,Item_10,CiD4,IJ213,119,22656.0,2020-12-16,Industrial,
TID00090,C_124,Item_24,CiD4,KF549,29,14906.0,2020-12-31,Household,
TID00091,C_41,Item_13,,,57,12198.0,2020-01-16,Household,
TID00092,C_90,Item_13,,,157,33598.0,2021-11-10,Industrial,
TID00093,C_103,Item_43,,MJ390,381,96584.0,2021-04-08,Government,
TID00094,C_63,Item_1,CiD1,NL801,33,9669.0,2019-01-31,Household,
TID00095,C_59,Item_20,CiD6,WV964,59,28585.5,2022-12-31,Household,
TID00096,C_125,Item_26,CiD3,WM681,50,25602.5,2020-07-31,Household,
TID00097,C_77,Item_12,CiD6,YT396,112,25748.8,2022-12-31,Industrial,
TID00098,C_16,Item_13,,,39,14664.0,2022-02-10,Household,
TID00099,C_128,Item_49,,,49,13083.0,2020-04-04,Household,
TID00100,C_2,Item_39,CiD3,BS289,78,37156.0,2020-07-31,Household,
TID00101,C_73,Item_4,,,62,24242.0,2022-10-13,Industrial,
